name,latitude,longitude,type,color
Weiden i.d.OPf./Nikolaistraße,49.6781485,12.1584941,58,4990E2
Trostberg/Schwimmbadstraße,48.0202759,12.541105,120,4990E2
München/Johanneskirchen,48.1692948,11.649074,29,4990E2
Augsburg/LfU,48.3264991,10.8981012,40,4990E2
Andechs/Rothenfeld,47.9707407,11.2194752,3,4990E2
Augsburg/Karlstraße,48.3702951,10.8969145,42,4990E2
Bayreuth/Hohenzollernring,49.9456175,11.5814571,34,4990E2
Erlangen/Kraepelinstraße,49.6061978,10.9635896,39,4990E2
München/Landshuter Allee,48.185704,11.5412276,38,4990E2
Passau/Stelzhamerstraße,48.571584,13.4210058,8,4990E2
Würzburg Stadtring Süd,49.79245,9.9329662,102,4990E2
Nürnberg/Von-der-Tann-Straße,49.4412443,11.0358304,42,4990E2
Oberaudorf/Inntal-Autobahn,47.6860393,12.1644345,35,4990E2
Bad Hindelang/Oberjoch,47.5164924,10.4060986,126,4990E2
Burgbernheim/Grüne Au,49.4447482,10.3236106,90,4990E2
Oettingen/Goethestraße,48.9553185,10.5989066,94,4990E2
Schwabach/Angerstraße,49.325139,11.0335718,170,4990E2
München/Allach,48.1900329,11.4680872,86,4990E2
Garmisch-Partenkirchen/Wasserwerk,47.476885,11.05701289,13,4990E2
Bremen-Mitte,53.0786741,8.8109045,24,4990E2
Bremen-Ost,53.0670401,8.8387821,40,4990E2
Bremen-Nord,53.1724606,8.7166332,49,4990E2
Cherbourger Straße,53.5807948,8.5828467,46,4990E2
Bremen-Oslebshausen,53.1352844,8.7408695,17,4990E2
Bremen-Hasenbüren,53.1170768,8.6936777,50,4990E2
Darmstadt,49.8727746,8.6511775,38,4990E2
Frankfurt-Höchst,50.1141955,8.5303546,55,4990E2
Frankfurt-Ost,50.1252646,8.7261117,83,4990E2
Hanau,50.1335542,8.9168179,78,4990E2
Kassel-Mitte,51.3157848,9.4950396,37,4990E2
Raunheim,50.0096998,8.4498124,64,4990E2
Wetzlar,50.5525346,8.5074406,26,4990E2
Wiesbaden-Süd,49.9922416,8.296434,79,4990E2
Witzenhausen/Wald,51.3369711,9.7435771,51,4990E2
Spessart,49.9716685,9.415426966,46,4990E2
Fürth/Odenwald,49.6484392,8.7805879,69,4990E2
Marburg,50.8117327,8.7757742,83,4990E2
Bebra,50.9682515,9.7933333,60,4990E2
Wiesbaden-Ringkirche,50.0772181,8.229246777,80,4990E2
Burg Herzberg (Grebenau),50.76967895,9.45959931,5,4990E2
Darmstadt-Hügelstraße,49.8692337,8.6517614,5,4990E2
Frankfurt-Friedb.Ldstr.,50.3191292,8.750675479,4,4990E2
Linden/Leihgestern,50.5272953,8.6748036,53,4990E2
Riedstadt,49.8425212,8.4829447,28,4990E2
Limburg,51.2008195,5.9041916,167,4990E2
Michelstadt,49.68239005,9.034072902,9,4990E2
